  0,5000000      0,5000000      2,2375090E-03   1,055199       1,051539    
   1,500000      0,5000000      1,1559675E-03   1,427337       1,233523    
   2,500000      0,5000000      7,8191105E-03   1,878445       2,310040    
   3,500000      0,5000000      4,1991477E-03   2,329647       2,292932    
   4,500000      0,5000000      5,0414796E-03   2,627118       2,624832    
   5,500000      0,5000000      5,0547677E-03   2,627118       2,619801    
   6,500000      0,5000000      3,0258633E-03   2,329647       2,154723    
   7,500000      0,5000000      3,1070146E-03   1,878429       1,792990    
   8,500000      0,5000000      2,9095609E-03   1,427325       1,410949    
   9,500000      0,5000000      3,2916502E-03   1,055215       1,155107    
  0,5000000       1,500000      1,8337400E-03   1,427337       1,302369    
   1,500000       1,500000      4,6863328E-03   2,086321       2,147247    
   2,500000       1,500000      1,1750674E-02   3,007264       3,655530    
   3,500000       1,500000      6,3959365E-03   4,079309       3,996865    
   4,500000       1,500000      7,8829443E-03   4,874909       4,828987    
   5,500000       1,500000      1,1021405E-02   4,874889       5,145053    
   6,500000       1,500000      7,5535085E-03   4,079317       4,089838    
   7,500000       1,500000      8,6833024E-03   3,007281       3,305819    
   8,500000       1,500000      2,5049909E-03   2,086296       1,891486    
   9,500000       1,500000      5,2793045E-03   1,427292       1,658800    
  0,5000000       2,500000      4,1648941E-03   1,878447       1,913111    
   1,500000       2,500000      9,2703132E-03   3,007272       3,385430    
   2,500000       2,500000      7,1210493E-03   4,907526       4,783198    
   3,500000       2,500000      9,2311520E-03   7,707232       7,474878    
   4,500000       2,500000      1,4062199E-02   10,26332       10,26748    
   5,500000       2,500000      1,2842458E-02   10,26333       10,10808    
   6,500000       2,500000      1,6290797E-02   7,707245       8,150004    
   7,500000       2,500000      1,4188598E-02   4,907530       5,477584    
   8,500000       2,500000      2,7073591E-03   3,007305       2,663353    
   9,500000       2,500000      8,4940129E-04   1,878396       1,544034    
  0,5000000       3,500000      4,4941171E-03   2,329653       2,307265    
   1,500000       3,500000      5,7611889E-03   4,079313       3,903704    
   2,500000       3,500000      1,0344077E-02   7,707224       7,559261    
   3,500000       3,500000      2,1420944E-02   15,49186       15,88645    
   4,500000       3,500000      2,2114852E-02   26,67400       26,60129    
   5,500000       3,500000      1,8844457E-02   26,67402       26,21153    
   6,500000       3,500000      1,9334329E-02   15,49189       15,58302    
   7,500000       3,500000      1,4391663E-02   7,707245       7,930479    
   8,500000       3,500000      7,1046725E-03   4,079268       4,019442    
   9,500000       3,500000      2,2093770E-03   2,329745       2,052021    
  0,5000000       4,500000      4,6359398E-03   2,627119       2,552356    
   1,500000       4,500000      9,5146662E-03   4,874911       4,947364    
   2,500000       4,500000      1,6339026E-02   10,26332       10,41717    
   3,500000       4,500000      2,4012344E-02   26,67402       26,68463    
   4,500000       4,500000       2,866792       86,53889       83,20449    
   5,500000       4,500000       2,437523       86,53885       83,19781    
   6,500000       4,500000      2,4933800E-02   26,67401       26,76511    
   7,500000       4,500000      1,9459356E-02   10,26333       10,72916    
   8,500000       4,500000      1,1838052E-02   4,874946       5,189757    
   9,500000       4,500000      9,4007552E-03   2,627045       3,055247    
  0,5000000       5,500000      9,9954745E-03   2,627130       3,106951    
   1,500000       5,500000      5,8335150E-03   4,874909       4,526857    
   2,500000       5,500000      1,5774515E-02   10,26333       10,27177    
   3,500000       5,500000      2,8227564E-02   26,67400       26,92986    
   4,500000       5,500000       2,230135       86,53886       82,98617    
   5,500000       5,500000       2,673657       86,53886       83,08343    
   6,500000       5,500000      1,5247400E-02   26,67401       25,73869    
   7,500000       5,500000      6,9780247E-03   10,26335       9,418808    
   8,500000       5,500000      8,5433237E-03   4,874962       4,838126    
   9,500000       5,500000      6,5155402E-03   2,626996       2,749171    
  0,5000000       6,500000      4,4082995E-03   2,329636       2,265175    
   1,500000       6,500000      6,8729310E-03   4,079313       3,945040    
   2,500000       6,500000      1,4309824E-02   7,707245       7,806357    
   3,500000       6,500000      1,8474793E-02   15,49187       15,26920    
   4,500000       6,500000      2,9106399E-02   26,67398       26,94436    
   5,500000       6,500000      2,3211652E-02   26,67402       26,44687    
   6,500000       6,500000      8,3652195E-03   15,49187       14,36860    
   7,500000       6,500000      1,4253075E-02   7,707237       7,891110    
   8,500000       6,500000      7,3678051E-03   4,079236       4,041103    
   9,500000       6,500000      7,0894854E-03   2,329729       2,567139    
  0,5000000       7,500000      1,4452151E-03   1,878429       1,584462    
   1,500000       7,500000      8,6108372E-03   3,007287       3,244488    
   2,500000       7,500000      1,7127914E-02   4,907538       5,689356    
   3,500000       7,500000      1,7060906E-02   7,707253       8,067299    
   4,500000       7,500000      8,7318541E-03   10,26333       9,466189    
   5,500000       7,500000      8,4768487E-03   10,26335       9,483474    
   6,500000       7,500000      1,0207254E-02   7,707237       7,436397    
   7,500000       7,500000      1,2958685E-02   4,907498       5,319937    
   8,500000       7,500000      1,0088878E-02   3,007232       3,433975    
   9,500000       7,500000      8,1539359E-03   1,878380       2,316371    
  0,5000000       8,500000      2,9115421E-03   1,427318       1,390279    
   1,500000       8,500000      9,9368393E-03   2,086276       2,643903    
   2,500000       8,500000      4,8724101E-03   3,007281       2,841250    
   3,500000       8,500000      8,2293255E-03   4,079277       4,067978    
   4,500000       8,500000      1,3873818E-02   4,874979       5,327308    
   5,500000       8,500000      7,2256401E-03   4,874962       4,646064    
   6,500000       8,500000      9,7562727E-03   4,079252       4,264029    
   7,500000       8,500000      5,8051650E-03   3,007232       2,972442    
   8,500000       8,500000      6,8619233E-03   2,086296       2,342313    
   9,500000       8,500000      2,7670495E-03   1,427373       1,386040    
  0,5000000       9,500000      7,3428280E-03   1,055237       1,569411    
   1,500000       9,500000      7,2291787E-03   1,427333       1,844858    
   2,500000       9,500000      1,9839087E-03   1,878429       1,635768    
   3,500000       9,500000      3,9565642E-03   2,329745       2,201824    
   4,500000       9,500000      9,7897910E-03   2,627029       3,060002    
   5,500000       9,500000      9,1645587E-03   2,627029       3,000700    
   6,500000       9,500000      5,2811070E-03   2,329712       2,357583    
   7,500000       9,500000      1,8237656E-03   1,878413       1,634314    
   8,500000       9,500000      2,7151406E-03   1,427373       1,376721    
   9,500000       9,500000      5,7311538E-03   1,055247       1,407646    
